max_depth,learning_rate,n_estimators,subsample,colsample_bytree,MAE,RMSE,MAPE
6,0.05,700,1.0,1.0,1093.9254885768794,1422.3950640994776,3.215120352464085
6,0.05,700,1.0,0.8,1096.3752190121247,1431.8567517852223,3.2209089654642615
8,0.05,500,1.0,0.8,1097.9078254584226,1447.674173554328,3.2112173003832956
8,0.05,700,0.8,1.0,1098.4190500145844,1452.349411708467,3.218602023739878
8,0.05,500,0.8,0.8,1099.4904238241834,1439.1634769604511,3.223463539896302
8,0.03,700,1.0,0.8,1099.836963580427,1445.4049667873082,3.218022933428464
8,0.05,700,1.0,0.8,1102.3725957937847,1451.3210642347399,3.2253143380011804
6,0.05,700,0.8,1.0,1102.5042610052976,1434.3034637169187,3.2405611967221715
8,0.05,700,0.8,0.8,1103.0765832926022,1442.5914017918524,3.2348390206845634
8,0.05,500,1.0,1.0,1104.3614887503154,1457.6322119186648,3.2328430396528574
8,0.05,700,1.0,1.0,1109.3535791853242,1461.3644641812723,3.2492105946919687
